S.No.,Name,Location,Year,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,Diesel,Manual,Fourth & Above,2494.0,102.0,7.0
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,Diesel,Manual,First,1461.0,108.45,5.0
31,Toyota Corolla Altis G,Delhi,2012,Petrol,Manual,First,1798.0,138.1,5.0
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,Diesel,Automatic,Second,2696.0,184.0,7.0
33,Audi A6 2.7 TDI,Kolkata,2010,Diesel,Automatic,First,2698.0,179.5,5.0
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,Petrol,Manual,Second,1598.0,103.5,5.0
35,Maruti Wagon R LXI BSIII,Jaipur,2009,Petrol,Manual,Second,1061.0,64.0,5.0
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,Diesel,Manual,First,1248.0,88.5,5.0
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,Petrol,Manual,First,1198.0,82.0,5.0
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,Diesel,Automatic,First,2987.0,254.8,5.0
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,Diesel,Manual,First,1199.0,73.9,5.0
40,Maruti Alto LXi,Delhi,2008,Petrol,Manual,Second,796.0,46.3,5.0
41,Tata Nano LX SE,Kochi,2014,Petrol,Manual,First,624.0,37.5,4.0
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,Diesel,Manual,First,1198.0,77.0,6.0
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,Petrol,Manual,First,1197.0,82.9,5.0
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,Petrol,Automatic,First,1999.0,149.92,5.0
45,Toyota Corolla Altis G AT,Mumbai,2016,Petrol,Automatic,First,1798.0,138.03,5.0
46,Hyundai Elantra CRDi,Ahmedabad,2008,Diesel,Manual,Second,1991.0,112.2,5.0
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,Petrol,Manual,First,2694.0,163.7,7.0
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,Diesel,Manual,First,1120.0,71.0,5.0
49,Mahindra Thar CRDe AC,Jaipur,2012,Diesel,Manual,Second,2498.0,105.0,6.0
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,Diesel,Automatic,First,1968.0,174.33,5.0
51,Maruti Swift LDI,Delhi,2014,Diesel,Manual,First,1248.0,74.0,5.0
52,Maruti Swift Ldi BSIV,Kolkata,2014,Diesel,Manual,First,1248.0,75.0,5.0
53,Maruti Swift VDI,Delhi,2013,Diesel,Manual,First,1248.0,74.0,5.0
54,Hyundai Grand i10 Sportz,Chennai,2015,Petrol,Manual,Third,1197.0,82.0,5.0
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,Petrol,Manual,First,1598.0,103.2,5.0
56,Renault KWID RXT,Kochi,2017,Petrol,Manual,First,799.0,53.3,5.0
57,Hyundai i10 Asta,Kolkata,2010,Petrol,Manual,First,1197.0,78.9,5.0
58,Nissan X-Trail SLX AT,Hyderabad,2010,Diesel,Automatic,First,1995.0,147.6,5.0
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,Petrol,Manual,First,998.0,67.1,5.0
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,Diesel,Manual,First,2393.0,147.8,8.0
61,Ford Figo Diesel Titanium,Bangalore,2010,Diesel,Manual,First,1399.0,68.0,5.0
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,Petrol,Automatic,First,1796.0,186.0,5.0
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,Diesel,Manual,Second,2148.0,170.0,5.0
64,Tata Indica V2 eLS,Chennai,2016,Diesel,Manual,First,1396.0,69.0,5.0
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,Diesel,Automatic,First,1968.0,140.0,5.0
66,Honda City ZX CVT,Mumbai,2007,Petrol,Automatic,Second,1497.0,78.0,5.0
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,Diesel,Automatic,First,1950.0,194.0,5.0
68,Maruti Ertiga SHVS VDI,Pune,2016,Diesel,Manual,First,1248.0,88.5,7.0
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,Diesel,Manual,First,1396.0,88.7,5.0
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,Petrol,Automatic,First,4806.0,500.0,5.0
71,Mahindra XUV500 W8 4WD,Mumbai,2015,Diesel,Manual,First,2179.0,140.0,7.0
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,Petrol,Automatic,First,1197.0,78.9,5.0
73,Nissan Terrano XV D Pre,Kochi,2015,Diesel,Manual,First,1461.0,108.5,5.0
74,Honda Brio VX AT,Coimbatore,2016,Petrol,Automatic,Second,1198.0,86.8,5.0
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,Diesel,Automatic,Second,1968.0,187.74,5.0
76,Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,Diesel,Manual,First,1399.0,116.66639175257731,5.0
77,Toyota Innova 2.0 G1,Chennai,2006,Petrol,Manual,Third,1998.0,132.0,8.0
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,Diesel,Manual,First,2494.0,102.0,7.0
79,Hyundai Santro Xing XL,Hyderabad,2005,Petrol,Manual,First,1086.0,116.66639175257731,5.0
80,Maruti Swift VDI,Jaipur,2012,Diesel,Manual,First,1248.0,74.0,5.0
81,Tata Zest Revotron 1.2T XE,Pune,2017,Petrol,Manual,First,1193.0,88.7,5.0
82,Honda Amaze SX i-VTEC,Kochi,2016,Petrol,Manual,First,1198.0,86.7,5.0
83,Ford Figo Diesel ZXI,Hyderabad,2012,Diesel,Manual,First,1399.0,68.0,5.0
84,Maruti Ritz VDi,Jaipur,2013,Diesel,Manual,First,1248.0,73.94,5.0
85,Honda City i VTEC E,Delhi,2009,Petrol,Manual,First,1497.0,117.3,5.0
86,BMW 5 Series 2003-2012 525d,Delhi,2011,Diesel,Automatic,Second,1995.0,218.0,5.0
87,Hyundai i10 Sportz 1.2,Pune,2009,Petrol,Manual,First,1197.0,78.9,5.0
88,Hyundai Grand i10 Sportz,Bangalore,2016,Petrol,Manual,First,1197.0,82.0,5.0
89,Hyundai Santro Xing XO,Hyderabad,2007,Petrol,Manual,First,1086.0,116.66639175257731,5.0
90,Honda Amaze SX i-VTEC,Mumbai,2016,Petrol,Manual,First,1198.0,86.7,5.0
91,Toyota Fortuner 4x2 Manual,Delhi,2014,Diesel,Manual,First,2982.0,168.5,7.0
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,Diesel,Automatic,First,1968.0,174.33,5.0
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,Diesel,Manual,First,1498.0,89.84,5.0
94,Mahindra XUV500 W8 2WD,Delhi,2014,Diesel,Manual,First,2179.0,140.0,7.0
95,Honda Amaze SX i-DTEC,Kolkata,2015,Diesel,Manual,First,1498.0,98.6,5.0
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,Diesel,Manual,First,1199.0,73.9,5.0
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,Diesel,Manual,First,1493.0,110.0,5.0
98,Maruti Wagon R VXI BS IV,Bangalore,2016,Petrol,Manual,First,998.0,67.1,5.0
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,Petrol,Manual,First,1598.0,103.5,5.0
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,Diesel,Manual,Second,1396.0,90.0,5.0
101,Hyundai i20 Asta 1.2,Mumbai,2014,Petrol,Manual,First,1197.0,82.85,5.0
102,Datsun GO Plus T Petrol,Pune,2017,Petrol,Manual,First,1198.0,67.0,7.0
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,Diesel,Automatic,First,2967.0,241.4,5.0
104,Hyundai i20 2015-2017 Asta,Pune,2009,Petrol,Manual,Second,1197.0,80.0,5.0
105,Maruti Omni 5 Str STD,Coimbatore,2010,Petrol,Manual,First,796.0,35.0,5.0
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,Petrol,Manual,First,1197.0,78.9,5.0
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,Diesel,Automatic,Second,2993.0,270.9,5.0
108,Mahindra XUV500 W8 2WD,Delhi,2012,Diesel,Manual,Second,2179.0,140.0,7.0
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,Diesel,Automatic,First,1582.0,126.32,5.0
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,Diesel,Automatic,First,2755.0,171.5,7.0
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,Petrol,Manual,First,1196.0,73.0,5.0
112,Tata Nano Twist XT,Bangalore,2014,Petrol,Manual,First,624.0,37.5,4.0
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,Diesel,Automatic,First,1995.0,190.0,5.0
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,Petrol,Manual,First,1799.0,130.0,5.0
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,Diesel,Manual,First,2494.0,100.6,7.0
116,Volvo V40 Cross Country D3,Bangalore,2014,Diesel,Automatic,First,1984.0,150.0,5.0
117,Nissan Micra XV CVT,Coimbatore,2016,Petrol,Automatic,First,1198.0,75.94,5.0
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,Petrol,Automatic,First,2497.0,215.0,5.0
119,Maruti Vitara Brezza VDi,Mumbai,2016,Diesel,Manual,First,1248.0,88.5,5.0
120,Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,Petrol,Manual,Second,1086.0,116.66639175257731,5.0
121,Mercedes-Benz B Class B200 CDI,Pune,2014,Diesel,Automatic,Second,2143.0,107.3,5.0
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,Diesel,Manual,First,1582.0,126.2,5.0
123,Maruti Wagon R LXI BS IV,Pune,2011,Petrol,Manual,First,998.0,67.1,5.0
124,Tata Nano XTA,Coimbatore,2017,Petrol,Automatic,First,624.0,37.48,4.0
125,Mahindra Scorpio VLX,Kolkata,2014,Diesel,Manual,First,2179.0,120.0,8.0
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,Petrol,Automatic,First,1796.0,178.0,5.0
127,Maruti Wagon R LXI CNG,Pune,2013,CNG,Manual,First,998.0,58.16,5.0
128,Honda CR-V 2.4 MT,Bangalore,2007,Petrol,Manual,Second,2354.0,152.0,5.0
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,Diesel,Automatic,First,1498.0,103.2,5.0
130,Maruti Ciaz VXi Plus,Kochi,2017,Petrol,Manual,First,1373.0,91.1,5.0
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,Diesel,Automatic,First,2179.0,140.0,7.0
132,Maruti Ritz VXI ABS,Coimbatore,2016,Petrol,Manual,First,1197.0,85.8,5.0
133,Maruti Alto K10 VXI,Hyderabad,2014,Petrol,Manual,First,998.0,67.1,5.0
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,Petrol,Automatic,First,2996.0,362.07,2.0
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,Petrol,Automatic,First,1591.0,121.3,5.0
136,Maruti Alto LXi BSIII,Chennai,2010,Petrol,Manual,Second,796.0,46.3,5.0
137,BMW 1 Series 118d Base,Coimbatore,2015,Diesel,Automatic,First,1995.0,143.0,5.0
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,Petrol,Automatic,First,1199.0,88.7,5.0
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,Petrol,Manual,First,1799.0,130.0,5.0
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,Diesel,Automatic,First,2143.0,170.0,5.0
141,Honda Amaze SX i-DTEC,Kolkata,2014,Diesel,Manual,First,1498.0,98.6,5.0
142,Maruti Swift VVT VXI,Kochi,2016,Petrol,Manual,First,1197.0,81.8,5.0
143,Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,Petrol,Manual,Third,1086.0,116.66639175257731,5.0
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,Diesel,Manual,First,2982.0,171.0,7.0
145,Chevrolet Beat LT Option,Pune,2014,Petrol,Manual,First,1199.0,76.8,5.0
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,Diesel,Manual,First,1498.0,103.52,5.0
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,Petrol,Manual,First,1373.0,91.1,5.0
148,Audi RS5 Coupe,Mumbai,2013,Petrol,Automatic,First,2894.0,444.0,4.0
149,BMW 3 Series Luxury Line,Mumbai,2014,Diesel,Automatic,First,1995.0,190.0,5.0
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,Diesel,Automatic,First,1968.0,174.33,5.0
151,Maruti Swift VDI,Chennai,2016,Diesel,Manual,First,1248.0,74.0,5.0
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,Petrol,Automatic,First,5461.0,362.9,5.0
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,Diesel,Automatic,First,1498.0,103.52,5.0
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,Diesel,Automatic,First,1968.0,138.1,5.0
155,Hyundai EON Magna Plus,Kochi,2019,Petrol,Manual,First,814.0,55.2,5.0
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,Diesel,Manual,First,1199.0,73.9,5.0
157,Datsun GO NXT,Kolkata,2016,Petrol,Manual,First,1198.0,67.06,5.0
158,Honda Brio S MT,Kolkata,2013,Petrol,Manual,First,1198.0,86.8,5.0
159,Mercedes-Benz B Class B180,Delhi,2013,Petrol,Automatic,First,1595.0,120.7,5.0
160,Honda City i DTEC V,Kochi,2015,Diesel,Manual,First,1498.0,98.6,5.0
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,Diesel,Manual,First,2494.0,100.6,7.0
162,Maruti Swift VXI Optional,Ahmedabad,2017,Petrol,Manual,First,1197.0,81.8,5.0
163,Mahindra XUV500 W8 2WD,Mumbai,2012,Diesel,Manual,First,2179.0,140.0,7.0
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,Diesel,Manual,First,1498.0,89.84,5.0
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,Diesel,Manual,First,2982.0,168.5,7.0
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,Diesel,Automatic,First,1498.0,108.5,5.0
167,Ford Figo Diesel Titanium,Jaipur,2010,Diesel,Manual,Second,1399.0,68.0,5.0
168,BMW X5 xDrive 30d,Mumbai,2015,Diesel,Automatic,First,2993.0,258.0,5.0
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,Diesel,Automatic,First,2143.0,167.62,5.0
170,Honda Brio V MT,Bangalore,2012,Petrol,Manual,Second,1198.0,86.8,5.0
171,Hyundai i10 Magna 1.2,Delhi,2013,Petrol,Manual,First,1197.0,78.9,5.0
172,Mercedes-Benz GLC 220,Bangalore,2016,Diesel,Automatic,First,2143.0,170.0,5.0
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,Petrol,Manual,First,1197.0,81.86,5.0
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,Diesel,Automatic,Second,1968.0,174.33,5.0
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,Petrol,Automatic,Second,1598.0,103.6,5.0
176,Mini Countryman Cooper D,Jaipur,2017,Diesel,Automatic,Second,1998.0,112.0,5.0
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,Diesel,Manual,First,1396.0,88.73,5.0
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,Diesel,Automatic,First,1968.0,174.33,5.0
179,Chevrolet Beat Diesel LT,Jaipur,2012,Diesel,Manual,First,936.0,57.6,5.0
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,Petrol,Automatic,First,1798.0,157.75,5.0
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,Diesel,Manual,Second,1399.0,68.0,5.0
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,Diesel,Automatic,First,1995.0,190.0,5.0
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,Petrol,Manual,First,1598.0,102.5,5.0
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,Diesel,Manual,First,1199.0,73.9,5.0
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,Diesel,Manual,First,1461.0,108.5,8.0
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,Diesel,Automatic,First,2143.0,201.1,5.0
187,Maruti Baleno Alpha,Kochi,2017,Petrol,Manual,First,1197.0,83.1,5.0
188,Hyundai Verna 1.6 SX,Delhi,2012,Diesel,Manual,First,1582.0,126.32,5.0
189,Hyundai i10 Magna 1.1,Kochi,2017,Petrol,Manual,First,1086.0,68.05,5.0
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,Diesel,Manual,First,1997.0,120.0,7.0
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,Diesel,Automatic,First,2179.0,187.7,5.0
192,Ford Figo Diesel ZXI,Chennai,2010,Diesel,Manual,First,1399.0,68.0,5.0
193,Maruti Ertiga ZDI,Mumbai,2016,Diesel,Manual,First,1248.0,88.5,7.0
194,Honda City 1.5 GXI,Ahmedabad,2007,Petrol,Manual,First,1628.3346693386773,116.66639175257731,5.2304609218436875
195,Honda Amaze S i-Dtech,Kolkata,2014,Diesel,Manual,First,1498.0,98.6,5.0
196,Hyundai i10 Magna,Jaipur,2015,Petrol,Manual,First,1197.0,78.9,5.0
197,Honda Amaze S i-Dtech,Kolkata,2013,Diesel,Manual,First,1498.0,98.6,5.0
198,Skoda Laura Ambiente,Hyderabad,2008,Diesel,Manual,First,1896.0,106.0,5.0
199,Renault Duster 85PS Diesel RxL,Delhi,2014,Diesel,Manual,First,1461.0,83.8,5.0
200,Mahindra NuvoSport N6,Chennai,2017,Diesel,Manual,Second,1493.0,100.0,7.0
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,Diesel,Manual,First,1248.0,88.5,5.0
202,Hyundai i20 Asta Option 1.2,Kochi,2016,Petrol,Manual,First,1197.0,81.83,5.0
203,Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,Petrol,Manual,First,1390.0,85.0,5.0
204,Tata Indigo eCS GLX,Pune,2010,Petrol,Manual,First,1193.0,64.1,5.0
205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,Diesel,Automatic,First,1968.0,174.33,5.0
206,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,Petrol,Automatic,First,1798.0,177.5,5.0
207,Toyota Etios Liva GD SP,Delhi,2014,Diesel,Manual,First,1364.0,67.06,5.0
208,Maruti Swift 1.3 VXi,Kolkata,2010,Petrol,Manual,First,1628.3346693386773,116.66639175257731,5.2304609218436875
209,Mercedes-Benz B Class B180,Kochi,2014,Petrol,Automatic,First,1595.0,120.7,5.0
210,Honda Amaze S Diesel,Kolkata,2013,Diesel,Manual,First,1498.0,98.6,5.0
211,Hyundai Verna 1.6 SX,Jaipur,2012,Diesel,Manual,Second,1582.0,126.32,5.0
212,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,Diesel,Manual,First,1461.0,83.8,5.0
213,Hyundai Creta 1.6 VTVT S,Delhi,2015,Petrol,Manual,Second,1591.0,121.3,5.0
214,Maruti Wagon R AMT VXI,Mumbai,2016,Petrol,Automatic,First,998.0,67.0,5.0
215,Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,2010,Petrol,Manual,First,1796.0,186.0,5.0
216,Audi A8 L 3.0 TDI quattro,Delhi,2012,Diesel,Automatic,First,2967.0,246.7,5.0
217,Hyundai i10 Magna 1.1,Pune,2012,Petrol,Manual,Second,1086.0,68.05,5.0
218,Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,2017,Diesel,Automatic,First,1598.0,103.52,5.0
219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,Petrol,Automatic,First,1798.0,177.46,5.0
220,Hyundai i20 Active 1.2 SX,Coimbatore,2018,Petrol,Manual,First,1197.0,81.86,5.0
221,Honda Amaze VX i-DTEC,Kolkata,2014,Diesel,Manual,Second,1498.0,98.6,5.0
222,Maruti Wagon R LXI,Chennai,2004,Petrol,Manual,Second,998.0,67.1,5.0
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,Diesel,Manual,First,1461.0,65.0,5.0
224,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,Diesel,Automatic,First,2143.0,167.62,5.0
225,Maruti Wagon R VXI,Kolkata,2013,Petrol,Manual,First,998.0,67.04,5.0
226,Nissan Terrano XV Premium 110 PS Anniversary Edition,Coimbatore,2015,Diesel,Manual,Second,1461.0,108.5,5.0
227,Maruti Swift VDI BSIV,Delhi,2013,Diesel,Manual,First,1248.0,116.66639175257731,5.0
228,Mini Cooper Convertible S,Kochi,2017,Petrol,Automatic,First,1998.0,189.08,4.0
229,Ford Figo Diesel,Bangalore,2015,Diesel,Manual,First,1498.0,99.0,5.2304609218436875
230,Tata Indica V2 DLS BSII,Jaipur,2007,Diesel,Manual,Second,1396.0,53.5,5.0
231,Chevrolet Beat LT,Kochi,2016,Petrol,Manual,Second,1199.0,76.8,5.0
232,Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,2012,Diesel,Manual,First,1199.0,73.9,5.0
233,Maruti Swift ZDi,Hyderabad,2016,Diesel,Manual,First,1248.0,74.0,5.0
234,Ford Figo Diesel EXI,Kolkata,2012,Diesel,Manual,First,1399.0,68.05,5.0
235,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,Diesel,Automatic,First,2755.0,171.5,7.0
236,Hyundai Santa Fe 4x4 AT,Mumbai,2011,Diesel,Automatic,Second,2199.0,194.3,7.0
237,Honda City i-VTEC V,Kolkata,2011,Petrol,Manual,First,1497.0,117.3,5.0
238,Hyundai i20 1.2 Magna Executive,Kochi,2018,Petrol,Manual,First,1197.0,81.83,5.0
239,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Kochi,2015,Diesel,Automatic,First,2143.0,167.62,5.0
240,Chevrolet Beat Diesel LT,Mumbai,2013,Diesel,Manual,First,936.0,57.6,5.0
241,Hyundai i20 Sportz 1.4 CRDi,Kochi,2015,Diesel,Manual,First,1396.0,88.73,5.0
242,Toyota Innova 2.5 Z Diesel 7 Seater,Coimbatore,2015,Diesel,Manual,First,2494.0,100.6,7.0
243,Maruti Ertiga VDI,Chennai,2013,Diesel,Manual,First,1248.0,88.76,7.0
244,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2014,Diesel,Manual,First,2494.0,102.0,7.0
245,Hyundai Santro Xing XO eRLX Euro II,Mumbai,2007,Petrol,Manual,Third,1086.0,116.66639175257731,5.0
246,Honda City i VTEC V,Kochi,2016,Petrol,Manual,First,1497.0,117.3,5.0
247,BMW X1 sDrive20d,Ahmedabad,2014,Diesel,Automatic,First,1995.0,184.0,5.0
248,Hyundai Grand i10 CRDi Era,Mumbai,2017,Diesel,Manual,First,1120.0,70.0,5.0
249,Maruti Ciaz 1.3 Alpha,Chennai,2016,Diesel,Manual,First,1248.0,88.5,5.0
250,Skoda Rapid Leisure 1.6 TDI MT,Kolkata,2012,Diesel,Manual,First,1598.0,103.6,5.0
251,Hyundai Accent CRDi,Kochi,2006,Diesel,Manual,First,1493.0,82.0,5.0
252,Volkswagen Polo GT 1.5 TDI,Jaipur,2014,Diesel,Manual,Second,1498.0,103.6,5.0
253,Honda Jazz 1.2 VX i VTEC,Coimbatore,2017,Petrol,Manual,First,1199.0,88.7,5.0
254,Hyundai i10 Era,Jaipur,2010,Petrol,Manual,First,1086.0,68.05,5.0
255,Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Kochi,2018,Diesel,Automatic,First,1995.0,183.0,5.0
256,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,Diesel,Manual,First,2393.0,147.8,7.0
257,Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,Jaipur,2011,Petrol,Manual,Third,796.0,35.0,5.0
258,Maruti Swift VXI BSIV,Coimbatore,2017,Petrol,Manual,Second,1197.0,81.8,5.0
